문서ID,제목,카테고리,Basic_비영(%),Improved_비영(%),LLM_비영(%)
0,학과소개,학과안내,9.0,6.0,6.0
1,교육모토,학과안내,12.0,10.0,10.0
2,학과의 장점,학과안내,12.0,6.5,6.5
3,혁신융합대학사업,학과안내,11.0,9.5,9.5
4,인공지능이 정말 배워야 하나요?,신입생안내,12.0,10.0,10.0
5,컴퓨터공학과와의 차이점,신입생안내,8.0,6.5,6.5
6,수업을 따라갈 수 있을까요?,신입생안내,14.0,13.0,13.0
7,입학 요건은?,신입생안내,6.0,8.5,8.5
8,1학년 교과목,학사정보,1.0,2.0,2.0
9,2학년 교과목,학사정보,5.0,7.5,7.5
10,3학년 교과목,학사정보,5.0,6.5,6.5
11,4학년 교과목,학사정보,2.0,1.5,1.5
12,취업전망,진로취업,13.0,12.0,12.0
13,1기 졸업생,진로취업,4.0,5.5,5.5
14,2024년 CO-SHOW 수상,학과활동,7.0,5.0,5.0
15,2025 AI융합 문제발굴 산학연계 ,학과활동,7.0,7.5,7.5
